kode,nama_old,developer_old,kecamatan_old,terjual_subsidi,terjual_komersil,total_terjual
LMJ0520122026T001,PERUMAHAN AJM RESIDENCE,PT AGUNG JAYA MEGATAMA,Tempeh,1,0,1
LMJ1010092026T001,HR PERMATA LAND,PT NABAWI INDAH PERMAI,Lumajang,3,0,3
LMJ0520082026T001,Mustika Djiwa,PT JIAN COX KARDIMAN,Tempeh,2,0,2
LMJ0620102026T001,Adara Park 2 (pengembangan),PT BINTANG INDONESIA SENTOSA,Kunir,1,0,1
LMJ1620042026T001,GRIYA SEMERU WONOREJO,PT ASIA LAND INDONESIA,Kedungjajang,5,0,5
LMJ2120052025T001,graha surya mojosari,PT SURYA KENCANA REALTY,Sumbersuko,1,0,1
LMJ2120012025T001,MUSTIKA LEMBAYUNG,PT LEMBAYUNG WANANTARA PADHA,Sumbersuko,2,0,2
LMJ0920052025T001,GRAHA ADHI 7,PT GRAHA DUTA BANGSA,Tekung,2,0,2
LMJ0920062025T001,ALAM HARMONI TUKUM,PT HIDAYAH AMANAH PROPERTI,Tekung,1,0,1
LMJ1020072025T001,GRIYA CITRA LESTARI,PT PODO LANCAR GROUP,Lumajang,1,0,1
LMJ2120032025T001,PERMATA GRATI GARDEN TAHAP 2,PT BAGUS PERMATA BIRU,Sumbersuko,2,0,2
LMJ0920042024T001,Hunian Krasan,PT ALAM KRASAN JAYA,Tekung,1,0,1
LMJ0520062024T001,THE ALAFASY,PT NISCALA MANDIRI ALAFASY,Tempeh,1,0,1
LMJ0620112023T003,EMERALD RESIDENCE,PT KSB PROPERTY BERSYARIAH,Kunir,1,0,1
LMJ0620112023T002,Adara Park 2,PT BINTANG INDONESIA SENTOSA,Kunir,1,0,1
LMJ0820032022T001,PURI KENCANA LUMAJANG,PT SIMANDUTA SURYA SENTOSA,Rowokangkung,1,0,1
