kode,nama,developer,kecamatan,subsidi,komersil
LMJ1920072026T001,HILLSIDE RANU RESIDENCE,PT RAFISQI RONA INDONESIA,Klakah,32,0
LMJ0620102026T001,Adara Park 2 (pengembangan),PT BINTANG INDONESIA SENTOSA,Kunir,36,0
LMJ1620042026T001,GRIYA SEMERU WONOREJO,PT ASIA LAND INDONESIA,Kedungjajang,56,0
LMJ1520072026T002,GRAND ZAMZAM AZURA,PT GRAND ZAMZAM PROPERTY,Sukodono,0,2
LMJ2120032026T001,PESONA PERSADA GRATI,PT LANCAR AMAN BERKAH,Sumbersuko,69,0
LMJ0920082026T001,ARUM RESIDENCE,PT HANOON BANGUN JAYA,Tekung,16,0
LMJ1520072026T001,BUMI NIRWANA SUMBEREJO,PT BUMI NIRWANA ESTATE,Sukodono,50,0
LMJ1220042025T001,GRAND ZAMZAM ARCADIA,PT GRAND ZAMZAM PROPERTY,Senduro,0,5
LMJ1010042025T001,Bin Dawood Residence,PT MAKMUR SEJAHTERA PROPERTI,Lumajang,45,0
LMJ2120052025T001,graha surya mojosari,PT SURYA KENCANA REALTY,Sumbersuko,12,0
LMJ0920052025T001,GRAHA ADHI 7,PT GRAHA DUTA BANGSA,Tekung,73,0
LMJ0920062025T001,ALAM HARMONI TUKUM,PT HIDAYAH AMANAH PROPERTI,Tekung,14,0
LMJ2120012025T001,MUSTIKA LEMBAYUNG,PT LEMBAYUNG WANANTARA PADHA,Sumbersuko,70,0
LMJ1020082025T001,PERUMAHAN PLATARAN VIEW,PT ZAIN HASA JAYA LAND,Lumajang,4,0
LMJ1010102025T002,HR RESIDENCE TAHAP 2,PT NABAWI INDAH PERMAI,Lumajang,35,30
LMJ1010102025T001,Clarysa Grande,PT EAST KEDATON JAYALAND,Lumajang,81,0
LMJ1020072025T001,GRIYA CITRA LESTARI,PT PODO LANCAR GROUP,Lumajang,1,0
LMJ2120032025T002,Perumahan Anggrek Indah Residence,PT NABAWI CAHAYA MULYA,Sumbersuko,23,0
LMJ0420082025T001,PERUMAHAN PRING SEWU RESIDENCE,PT PRING SEWU JOYO,Pasirian,43,0
LMJ0620102025T001,PERMATA JINGGA RESIDENCE,PT BUMI WIRARAJA GROUP,Kunir,134,0
LMJ0620072025T001,Perumahan Villa Shofia,PT NABAWI CAHAYA MULYA,Kunir,36,0
LMJ1010052025T001,Leiden Park,PT BINTANG INDONESIA SENTOSA,Lumajang,0,53
LMJ0920082025T001,BHUMI SAKA ARUM,PT LEMBAYUNG WANANTARA PADHA,Tekung,10,0
LMJ2120032025T001,PERMATA GRATI GARDEN TAHAP 2,PT BAGUS PERMATA BIRU,Sumbersuko,150,0
LMJ1520052025T001,Clarysa Sukodono Land,PT EAST KEDATON JAYALAND,Sukodono,0,8
LMJ1220012024T001,GRAND CAHAYA CLASSICA HILL 2,PT CAHAYA PUTRA SUKSESINDO,Senduro,5,12
LMJ1520092024T002,TAMAN GRIYA PERMATA,PT GRAND ZAMZAM PROPERTY,Sukodono,13,0
LMJ1020082024T001,MOKAYAMA CITY BORENG II,PT MORU KAIA JAYA UTAMA,Lumajang,0,0
LMJ0920062024T001,Merlion Park Tukum,PT GRAHA DUTA BANGSA,Tekung,0,13
LMJ0920062024T002,Merlion Park Tukum 2,PT GRAHA DUTA BANGSA,Tekung,0,117
LMJ1520092024T001,Green Hasana,PT BINTANG INDONESIA SENTOSA,Sukodono,0,2
LMJ0920042024T001,Hunian Krasan,PT ALAM KRASAN JAYA,Tekung,55,28
